date,entry_time,stop_line_time,direction_time,vehicle_type,vehicle_id,lane,direction
2025-02-25,17:28:12,17:28:17,17:28:22,motorbike,6,1,straight
2025-02-25,17:28:12,17:28:16,17:28:26,car,11,2,straight
2025-02-25,17:28:12,17:28:26,17:28:30,motorbike,133,1,straight
2025-02-25,17:28:12,17:28:28,17:28:39,motorbike,0,3,left
2025-02-25,17:28:16,17:28:35,17:28:42,motorbike,181,2,straight
2025-02-25,17:28:12,17:28:28,17:28:44,motorbike,4,3,left
2025-02-25,17:28:26,17:28:47,17:29:03,car,218,3,left
2025-02-25,17:28:21,17:29:01,17:29:09,car,190,2,straight
2025-02-25,17:28:47,17:29:07,17:29:14,motorbike,296,2,straight
2025-02-25,17:28:47,17:29:08,17:29:16,car,282,3,straight
2025-02-25,17:28:49,17:29:11,17:29:18,motorbike,305,2,straight
2025-02-25,17:28:58,17:29:17,17:29:26,motorbike,325,1,right
2025-02-25,17:29:00,17:29:24,17:29:32,motorbike,331,2,straight
2025-02-25,17:28:56,17:29:18,17:29:33,motorbike,312,2,left
2025-02-25,17:29:05,17:29:28,17:29:36,motorbike,358,2,straight
2025-02-25,17:29:05,17:29:38,17:29:48,motorbike,363,2,straight
2025-02-25,17:29:22,17:29:42,17:29:50,motorbike,253,1,straight
2025-02-25,17:29:31,17:29:50,17:29:57,motorbike,449,2,straight
2025-02-25,17:29:22,17:29:50,17:30:00,motorbike,423,2,straight
2025-02-25,17:29:33,17:29:59,17:30:11,motorbike,427,3,left
2025-02-25,17:29:44,17:30:08,17:30:18,motorbike,499,1,right
2025-02-25,17:29:42,17:30:04,17:30:20,motorbike,494,3,left
2025-02-25,17:30:51,17:32:54,17:33:13,motorbike,722,1,straight
2025-02-25,17:31:23,17:32:58,17:33:15,motorbike,849,1,straight
2025-02-25,17:30:40,17:33:06,17:33:21,motorbike,684,2,straight
2025-02-25,17:33:08,17:33:11,17:33:21,motorbike,1246,2,straight
2025-02-25,17:32:59,17:33:02,17:33:25,motorbike,1211,2,straight
2025-02-25,17:29:28,17:30:01,17:33:29,motorbike,442,2,straight
2025-02-25,17:31:45,17:33:17,17:33:30,motorbike,931,1,straight
2025-02-25,17:32:17,17:33:15,17:33:33,motorbike,1047,2,straight
2025-02-25,17:32:38,17:33:23,17:33:35,motorbike,1134,1,straight
2025-02-25,17:32:33,17:33:25,17:33:36,motorbike,1117,2,straight
2025-02-25,17:33:27,17:33:27,17:33:40,motorbike,1320,2,straight
2025-02-25,17:29:58,17:33:06,17:33:42,car,509,3,straight
2025-02-25,17:32:57,17:33:36,17:33:47,motorbike,1202,1,straight
2025-02-25,17:32:25,17:33:33,17:33:49,van,1084,2,straight
2025-02-25,17:34:04,17:34:05,17:34:12,motorbike,1459,2,straight
2025-02-25,17:31:45,17:33:57,17:34:16,car,930,2,straight
2025-02-25,17:32:51,17:34:26,17:34:37,car,1179,2,straight
2025-02-25,17:34:15,17:34:33,17:34:39,motorbike,1500,1,straight
2025-02-25,17:33:52,17:34:26,17:34:42,motorbike,1419,1,straight
2025-02-25,17:33:17,17:34:36,17:34:46,car,1200,2,straight
2025-02-25,17:33:12,17:34:48,17:35:02,car,1260,3,straight
2025-02-25,17:34:07,17:34:58,17:35:08,car,1369,2,straight
2025-02-25,17:34:31,17:34:59,17:35:09,motorbike,1560,1,straight
2025-02-25,17:34:36,17:35:07,17:35:15,motorbike,1566,2,straight
2025-02-25,17:34:14,17:35:08,17:35:22,car,1402,2,straight
2025-02-25,17:34:33,17:35:20,17:35:32,car,1525,2,straight
2025-02-25,17:35:06,17:35:28,17:35:37,motorbike,1677,2,straight
2025-02-25,17:35:20,17:35:46,17:35:56,car,1682,2,straight
2025-02-25,17:35:22,17:35:50,17:35:58,car,1715,2,straight
2025-02-25,17:35:41,17:36:00,17:36:06,motorbike,1796,2,straight
2025-02-25,17:35:46,17:36:04,17:36:09,motorbike,1812,2,straight
2025-02-25,17:35:50,17:36:09,17:36:16,motorbike,1819,2,straight
2025-02-25,17:35:52,17:36:15,17:36:24,motorbike,1829,2,straight
2025-02-25,17:36:00,17:36:20,17:36:27,motorbike,1852,2,straight
2025-02-25,17:36:29,17:36:58,17:37:07,motorbike,1945,1,right
2025-02-25,17:36:49,17:37:10,17:37:17,motorbike,2020,1,right
2025-02-25,17:38:49,17:39:03,17:39:25,motorbike,2525,1,straight
2025-02-25,17:38:57,17:39:04,17:39:27,motorbike,2553,3,straight
