date,entry_time,stop_line_time,direction_time,vehicle_type,vehicle_id,lane,direction
2025-02-25,17:28:12,17:28:12,17:28:29,motorbike,54,1,right
2025-02-25,17:29:26,17:29:26,17:29:41,motorbike,249,3,left
2025-02-25,17:29:19,17:29:19,17:29:49,motorbike,412,1,straight
2025-02-25,17:28:12,17:29:20,17:29:50,motorbike,47,1,straight
2025-02-25,17:29:19,17:29:26,17:29:56,motorbike,405,1,straight
2025-02-25,17:29:06,17:29:08,17:29:59,motorbike,48,2,straight
2025-02-25,17:29:30,17:29:32,17:30:00,motorbike,448,1,straight
2025-02-25,17:29:21,17:29:22,17:30:03,motorbike,36,2,straight
2025-02-25,17:28:33,17:29:00,17:30:05,motorbike,258,2,straight
2025-02-25,17:29:16,17:29:34,17:30:05,motorbike,400,1,straight
2025-02-25,17:29:24,17:29:27,17:30:06,motorbike,268,1,straight
2025-02-25,17:29:14,17:29:27,17:30:06,motorbike,33,1,straight
2025-02-25,17:29:27,17:29:27,17:30:06,motorbike,436,1,straight
2025-02-25,17:29:19,17:29:31,17:30:10,motorbike,410,2,straight
2025-02-25,17:28:12,17:29:39,17:30:10,motorbike,30,1,straight
2025-02-25,17:29:45,17:29:54,17:30:11,motorbike,44,3,u-turn
2025-02-25,17:28:24,17:29:42,17:30:12,motorbike,226,1,straight
2025-02-25,17:29:38,17:29:42,17:30:12,motorbike,483,2,straight
2025-02-25,17:29:34,17:29:50,17:30:12,motorbike,468,3,u-turn
2025-02-25,17:29:25,17:29:33,17:30:12,motorbike,40,2,straight
2025-02-25,17:29:44,17:29:44,17:30:17,motorbike,502,2,straight
2025-02-25,17:29:34,17:29:46,17:30:19,motorbike,467,2,straight
2025-02-25,17:29:48,17:29:57,17:30:20,motorbike,518,1,right
2025-02-25,17:29:37,17:29:44,17:30:23,motorbike,480,1,straight
2025-02-25,17:29:33,17:29:33,17:30:24,motorbike,461,3,left
2025-02-25,17:29:50,17:29:50,17:30:24,motorbike,531,2,straight
2025-02-25,17:29:44,17:29:55,17:30:24,motorbike,500,1,straight
2025-02-25,17:29:27,17:29:51,17:30:25,motorbike,437,1,straight
2025-02-25,17:28:14,17:29:01,17:30:27,motorbike,158,1,left
2025-02-25,17:29:45,17:29:59,17:30:29,motorbike,504,1,straight
2025-02-25,17:29:26,17:29:55,17:30:31,motorbike,277,2,straight
2025-02-25,17:29:39,17:29:39,17:30:32,motorbike,482,3,left
2025-02-25,17:29:58,17:29:58,17:30:33,motorbike,561,2,straight
2025-02-25,17:30:09,17:30:14,17:30:35,motorbike,564,1,right
2025-02-25,17:29:32,17:30:12,17:30:35,motorbike,455,1,right
2025-02-25,17:30:03,17:30:05,17:30:40,motorbike,580,1,straight
2025-02-25,17:28:12,17:30:01,17:30:42,car,74,3,straight
2025-02-25,17:30:05,17:30:20,17:30:46,motorbike,592,2,straight
2025-02-25,17:30:27,17:30:28,17:30:50,motorbike,649,1,right
2025-02-25,17:28:12,17:30:12,17:30:52,car,76,2,right
2025-02-25,17:30:29,17:30:29,17:30:56,motorbike,654,2,straight
2025-02-25,17:29:58,17:30:34,17:30:56,motorbike,562,1,right
2025-02-25,17:30:19,17:30:25,17:30:57,motorbike,634,2,straight
2025-02-25,17:30:08,17:30:38,17:31:02,motorbike,604,1,right
2025-02-25,17:29:55,17:30:29,17:31:04,motorbike,547,1,straight
2025-02-25,17:30:06,17:30:31,17:31:07,motorbike,596,3,left
2025-02-25,17:30:28,17:30:28,17:31:07,motorbike,334,3,left
2025-02-25,17:30:37,17:30:38,17:31:10,motorbike,674,3,left
2025-02-25,17:30:52,17:30:52,17:31:13,motorbike,725,1,straight
2025-02-25,17:29:59,17:30:37,17:31:17,motorbike,569,2,straight
2025-02-25,17:30:30,17:30:36,17:31:17,motorbike,659,1,straight
2025-02-25,17:30:43,17:30:47,17:31:18,motorbike,694,1,straight
2025-02-25,17:30:37,17:30:57,17:31:18,motorbike,676,1,right
2025-02-25,17:30:31,17:30:33,17:31:22,motorbike,660,3,left
2025-02-25,17:30:10,17:30:47,17:31:35,motorbike,178,1,straight
2025-02-25,17:30:58,17:30:59,17:31:37,motorbike,749,1,straight
2025-02-25,17:31:06,17:31:16,17:31:39,motorbike,780,1,right
2025-02-25,17:29:46,17:31:04,17:31:44,car,360,2,right
2025-02-25,17:30:20,17:31:23,17:31:46,motorbike,636,1,right
2025-02-25,17:31:23,17:31:28,17:31:52,motorbike,853,1,right
2025-02-25,17:31:12,17:31:23,17:32:02,motorbike,515,1,straight
2025-02-25,17:31:01,17:31:13,17:32:04,motorbike,760,1,straight
