date,entry_time,stop_line_time,direction_time,vehicle_type,vehicle_id,lane,direction
2025-02-25,17:28:12,17:30:29,17:30:54,motorbike,145,1,right
2025-02-25,17:30:05,17:30:38,17:31:02,motorbike,503,1,right
2025-02-25,17:30:18,17:31:10,17:32:32,motorbike,630,1,left
2025-02-25,17:29:37,17:31:00,17:32:36,motorbike,146,1,straight
2025-02-25,17:29:13,17:29:39,17:32:39,motorbike,195,1,left
2025-02-25,17:31:35,17:32:23,17:32:41,motorbike,891,1,straight
2025-02-25,17:28:45,17:30:35,17:32:43,motorbike,179,1,straight
2025-02-25,17:31:48,17:32:22,17:32:46,motorbike,948,1,straight
2025-02-25,17:28:12,17:32:11,17:32:46,motorbike,108,1,straight
2025-02-25,17:30:53,17:32:29,17:32:51,motorbike,732,1,left
2025-02-25,17:29:49,17:32:26,17:32:54,motorbike,528,1,straight
2025-02-25,17:30:06,17:32:20,17:32:54,motorbike,450,1,straight
2025-02-25,17:30:32,17:32:44,17:33:04,motorbike,638,1,left
2025-02-25,17:31:10,17:32:31,17:33:05,motorbike,724,1,straight
2025-02-25,17:32:15,17:32:48,17:33:08,motorbike,787,1,right
2025-02-25,17:31:52,17:33:12,17:33:37,motorbike,953,1,straight
2025-02-25,17:32:13,17:33:26,17:33:49,motorbike,1038,1,left
2025-02-25,17:32:45,17:33:39,17:34:01,motorbike,1023,1,straight
2025-02-25,17:32:28,17:33:47,17:34:04,motorbike,1089,1,left
2025-02-25,17:32:47,17:34:08,17:34:29,motorbike,1165,1,straight
2025-02-25,17:32:55,17:34:20,17:34:59,motorbike,1197,1,left
2025-02-25,17:32:44,17:34:36,17:35:05,motorbike,1152,1,straight
2025-02-25,17:33:37,17:34:27,17:35:06,motorbike,1316,1,straight
2025-02-25,17:34:13,17:34:43,17:35:06,motorbike,1437,1,left
2025-02-25,17:34:34,17:36:55,17:38:10,motorbike,1151,1,u-turn
2025-02-25,17:38:15,17:39:18,17:39:39,motorbike,2301,1,right
2025-02-25,17:37:28,17:38:39,17:39:40,motorbike,2052,1,straight
2025-02-25,17:39:21,17:39:44,17:39:46,motorbike,1777,1,u-turn
2025-02-25,17:35:53,17:39:09,17:39:50,motorbike,1825,1,straight
2025-02-25,17:34:59,17:36:03,17:39:52,motorbike,1656,1,straight
2025-02-25,17:37:52,17:38:09,17:39:57,motorbike,2307,1,straight
2025-02-25,17:38:08,17:39:38,17:40:02,motorbike,2317,1,straight
2025-02-25,17:34:22,17:39:27,17:40:07,motorbike,1523,1,straight
2025-02-25,17:39:40,17:39:43,17:40:08,motorbike,2709,1,straight
2025-02-25,17:34:38,17:36:12,17:40:10,motorbike,1583,1,straight
2025-02-25,17:38:20,17:39:37,17:40:12,motorbike,2422,1,straight
2025-02-25,17:37:46,17:39:50,17:40:17,motorbike,2279,1,straight
2025-02-25,17:38:11,17:40:17,17:40:18,motorbike,2390,1,u-turn
2025-02-25,17:33:13,17:39:28,17:40:19,motorbike,1261,1,left
2025-02-25,17:39:29,17:39:59,17:40:26,motorbike,2663,1,straight
2025-02-25,17:36:23,17:39:51,17:40:26,motorbike,1922,1,left
2025-02-25,17:37:02,17:40:05,17:40:36,motorbike,2088,1,left
2025-02-25,17:39:08,17:40:23,17:40:49,motorbike,2555,1,straight
2025-02-25,17:39:02,17:40:24,17:40:51,motorbike,2573,1,straight
2025-02-25,17:39:35,17:40:28,17:40:56,motorbike,2685,1,straight
2025-02-25,17:39:48,17:41:00,17:41:31,motorbike,2733,1,straight
2025-02-25,17:39:36,17:41:10,17:41:35,motorbike,2639,1,right
2025-02-25,17:40:06,17:41:14,17:41:49,motorbike,2724,1,straight
2025-02-25,17:40:27,17:41:34,17:42:00,motorbike,2796,1,straight
2025-02-25,17:40:38,17:41:43,17:42:24,motorbike,2431,1,left
2025-02-25,17:40:35,17:41:45,17:42:38,motorbike,2854,1,left
2025-02-25,17:41:53,17:42:11,17:42:46,motorbike,2997,1,straight
2025-02-25,17:41:26,17:42:20,17:42:47,motorbike,2987,1,left
2025-02-25,17:41:14,17:42:38,17:43:01,motorbike,2938,1,straight
